name,team,result
704,Hase,20
705,Hase,20
706,Hase,23
707,Hase,22
708,Hase,20
709,Hase,18
710,Hase,21
675,Master of Health Science ,21
676,Master of Health Science ,20
677,Master of Health Science ,21
678,Master of Health Science ,23
679,Master of Health Science ,23
680,Master of Health Science ,21
681,Master of Health Science ,23
682,Master of Health Science ,23
683,Master of Health Science ,24
684,Master of Health Science ,21
685,Master of Health Science ,22
658,Turbo Tiger,22
659,Turbo Tiger,22
660,Turbo Tiger,24
661,Turbo Tiger,23
662,Turbo Tiger,22
663,Turbo Tiger,24
664,Turbo Tiger,19
665,Turbo Tiger,23
604,Turbo Tiger,19
608,Turbo Tiger,19
638,Bunte Hunde,22
639,Bunte Hunde,21
641,Bunte Hunde,19
642,Bunte Hunde,20
643,Bunte Hunde,25
644,Bunte Hunde,21
645,Bunte Hunde,21
647,Putzbrunner Panther,17
649,Putzbrunner Panther,22
650,Putzbrunner Panther,22
651,Putzbrunner Panther,22
652,Putzbrunner Panther,20
653,Putzbrunner Panther,23
654,Putzbrunner Panther,23
667,Mini Adler,17
668,Mini Adler,20
669,Mini Adler,19
671,Mini Adler,21
672,Mini Adler,23
673,Mini Adler,22
674,Mini Adler,21
606,Mini Adler,17
607,Mini Adler,17
698,Jahn Speedies Junior 1,25
699,Jahn Speedies Junior 1,19
700,Jahn Speedies Junior 1,20
701,Jahn Speedies Junior 1,21
702,Jahn Speedies Junior 1,22
703,Jahn Speedies Junior 1,22
716,Manzoschule,19
717,Manzoschule,20
718,Manzoschule,19
719,Manzoschule,22
720,Manzoschule,21
712,Manzoschule,20
714,Manzoschule,18
715,Manzoschule,19
686,Seminargruppe horizontale Spruenge,20
687,Seminargruppe horizontale Spruenge,22
688,Seminargruppe horizontale Spruenge,22
689,Seminargruppe horizontale Spruenge,22
690,Seminargruppe horizontale Spruenge,25
691,Seminargruppe horizontale Spruenge,22
692,Seminargruppe horizontale Spruenge,18
693,Seminargruppe horizontale Spruenge,24
751,Seminargruppe horizontale Spruenge,22
696,Seminargruppe horizontale Spruenge,23
696,Seminargruppe horizontale Spruenge,22
