name,team,result
589,Jahn Speedies jun 2,29
590,Jahn Speedies jun 2,44
591,Jahn Speedies jun 2,40
592,Jahn Speedies jun 2,29
594,Jahn Speedies jun 2,33
595,Jahn Speedies jun 2,28
596,Schnelle Blitze,29
597,Schnelle Blitze,27
598,Schnelle Blitze,30
599,Schnelle Blitze,28
600,Schnelle Blitze,25
601,Schnelle Blitze,26
602,Schnelle Blitze,31
563,Chilli Willi,32
564,Chilli Willi,35
565,Chilli Willi,34
566,Chilli Willi,31
567,Chilli Willi,34
568,Chilli Willi,40
570,Chilli Willi,35
572,Putzbrunner Pagheeras,40
573,Putzbrunner Pagheeras,33
574,Putzbrunner Pagheeras,42
575,Putzbrunner Pagheeras,40
576,Putzbrunner Pagheeras,33
577,Putzbrunner Pagheeras,32
578,Putzbrunner Pagheeras,43
581,Putzbrunner Pagheeras,23
621,Startblock Stipendiaten,26
622,Startblock Stipendiaten,29
623,Startblock Stipendiaten,29
624,Startblock Stipendiaten,29
625,Startblock Stipendiaten,24
627,Startblock Stipendiaten,31
628,Startblock Stipendiaten,30
629,Kickstart Kompetenz,40
630,Kickstart Kompetenz,30
631,Kickstart Kompetenz,45
632,Kickstart Kompetenz,33
633,Kickstart Kompetenz,26
634,Kickstart Kompetenz,30
635,Kickstart Kompetenz,49
636,Kickstart Kompetenz,35
637,Kickstart Kompetenz,37
610,Manzoschule,43
611,Manzoschule,29
612,Manzoschule,33
613,Manzoschule,27
614,Manzoschule,22
615,Manzoschule,29
616,Manzoschule,22
617,Manzoschule,27
618,Manzoschule,19
619,Manzoschule,43
585,Wilde Pferde,53
582,Wilde Pferde,45
586,Wilde Pferde,33
588,Wilde Pferde,31
583,Wilde Pferde,33
584,Wilde Pferde,48
587,Wilde Pferde,43
