name,team,result
54,Turbo Tiger,166
55,Turbo Tiger,209
56,Turbo Tiger,198
57,Turbo Tiger,189
58,Turbo Tiger,231
59,Turbo Tiger,176
60,Turbo Tiger,228
159,Turbo Tiger,244
119,Bunte Hunde,195
113,Bunte Hunde,214
118,Bunte Hunde,164
115,Bunte Hunde,142
123,Bunte Hunde,179
117,Bunte Hunde,186
114,Bunte Hunde,188
126,Bunte Hunde,135
127,Bunte Hunde,190
116,Bunte Hunde,182
120,Bunte Hunde,116
25,Putzbrunner Panther,219
28,Putzbrunner Panther,182
24,Putzbrunner Panther,212
27,Putzbrunner Panther,179
26,Putzbrunner Panther,100
30,Putzbrunner Panther,191
31,Putzbrunner Panther,194
29,Putzbrunner Panther,189
61,Mini Adler,129
62,Mini Adler,143
63,Mini Adler,188
64,Mini Adler,200
65,Mini Adler,187
66,Mini Adler,140
67,Mini Adler,171
137,Seminargruppe fur Drehungen,202
138,Seminargruppe fur Drehungen,251
139,Seminargruppe fur Drehungen,120
140,Seminargruppe fur Drehungen,155
141,Seminargruppe fur Drehungen,218
142,Seminargruppe fur Drehungen,128
143,Seminargruppe fur Drehungen,234
144,Seminargruppe fur Drehungen,187
145,Seminargruppe fur Drehungen,210
146,Seminargruppe fur Drehungen,174
147,Seminargruppe fur Drehungen,228
