name,team,result
137,Seminargruppe fur Drehungen,129
138,Seminargruppe fur Drehungen,111
139,Seminargruppe fur Drehungen,142
140,Seminargruppe fur Drehungen,129
141,Seminargruppe fur Drehungen,121
142,Seminargruppe fur Drehungen,150
143,Seminargruppe fur Drehungen,137
144,Seminargruppe fur Drehungen,126
145,Seminargruppe fur Drehungen,139
146,Seminargruppe fur Drehungen,142
147,Seminargruppe fur Drehungen,120
119,Bunte Hunde,130
113,Bunte Hunde,121
118,Bunte Hunde,113
115,Bunte Hunde,143
123,Bunte Hunde,131
117,Bunte Hunde,141
114,Bunte Hunde,129
126,Bunte Hunde,156
127,Bunte Hunde,130
116,Bunte Hunde,138
120,Bunte Hunde,146
54,Turbo Tiger,149
55,Turbo Tiger,118
56,Turbo Tiger,125
57,Turbo Tiger,131
58,Turbo Tiger,127
59,Turbo Tiger,127
60,Turbo Tiger,114
159,Turbo Tiger,113
61,Mini Adler,164
62,Mini Adler,168
63,Mini Adler,168
64,Mini Adler,175
65,Mini Adler,205
66,Mini Adler,137
67,Mini Adler,135
24,Putzbrunner Panther,139
25,Putzbrunner Panther,131
26,Putzbrunner Panther,148
27,Putzbrunner Panther,154
28,Putzbrunner Panther,147
29,Putzbrunner Panther,147
30,Putzbrunner Panther,156
31,Putzbrunner Panther,154
