name,team,result
70,Manzoschule,12
71,Manzoschule,23
72,Manzoschule,8
73,Manzoschule,9
74,Manzoschule,10
68,Manzoschule,16
95,Forschungsgruppe Quantensprung,12
96,Forschungsgruppe Quantensprung,11
97,Forschungsgruppe Quantensprung,15
98,Forschungsgruppe Quantensprung,23
99,Forschungsgruppe Quantensprung,9
100,Forschungsgruppe Quantensprung,15
101,Forschungsgruppe Quantensprung,14
102,Forschungsgruppe Quantensprung,19
103,Forschungsgruppe Quantensprung,14
104,Forschungsgruppe Quantensprung,14
106,Kangurus,13
107,Kangurus,13
108,Kangurus,13
109,Kangurus,13
110,Kangurus,15
111,Kangurus,26
112,Kangurus,26
42,Adler,27
32,Adler,12
33,Adler,19
39,Adler,18
35,Adler,17
36,Adler,25
37,Adler,26
38,Adler,16
34,Adler,21
40,Adler,19
86,Lehrstuhl fur angewandte Schlagballbeschleunigung,18
87,Lehrstuhl fur angewandte Schlagballbeschleunigung,16
90,Lehrstuhl fur angewandte Schlagballbeschleunigung,11
84,Lehrstuhl fur angewandte Schlagballbeschleunigung,26
88,Lehrstuhl fur angewandte Schlagballbeschleunigung,30
92,Lehrstuhl fur angewandte Schlagballbeschleunigung,17
89,Lehrstuhl fur angewandte Schlagballbeschleunigung,27
75,Die JAHN-Speedies,14
76,Die JAHN-Speedies,15
77,Die JAHN-Speedies,10
78,Die JAHN-Speedies,30
79,Die JAHN-Speedies,16
80,Die JAHN-Speedies,7
81,Die JAHN-Speedies,19
82,Die JAHN-Speedies,11
83,Die JAHN-Speedies,22
158,Die JAHN-Speedies,9
1,Renngeisis 1,24
2,Renngeisis 1,26
3,Renngeisis 1,21
5,Renngeisis 1,17
6,Renngeisis 1,17
7,Renngeisis 1,12
17,Renngeisis 1,18
18,Renngeisis 1,15
19,Renngeisis 1,21
20,Renngeisis 1,17
8,Renngeisis 2,20
9,Renngeisis 2,19
12,Renngeisis 2,10
13,Renngeisis 2,28
14,Renngeisis 2,16
15,Renngeisis 2,13
16,Renngeisis 2,13
23,Renngeisis 2,13
43,Wolfe,22
44,Wolfe,16
45,Wolfe,16
46,Wolfe,17
47,Wolfe,16
48,Wolfe,17
49,Wolfe,14
51,Wolfe,19
52,Wolfe,19
53,Wolfe,11
