name,team,result
340,jahn speedies junior zwei,9.77
341,jahn speedies junior zwei,13.11
342,jahn speedies junior zwei,10.65
343,jahn speedies junior zwei,11.1
344,jahn speedies junior zwei,9.55
345,jahn speedies junior zwei,9.36
346,jahn speedies junior zwei,9.21
347,jahn speedies junior zwei,16
348,jahn speedies junior zwei,10.61
394,jahn speedies junior zwei,8.96
278,bunte hunde,9.17
279,bunte hunde,9.59
280,bunte hunde,10.1
281,bunte hunde,10.43
282,bunte hunde,9.33
283,bunte hunde,10.01
284,bunte hunde,11.08
397,bunte hunde,11
381,psv leoparden,9.62
382,psv leoparden,10.01
383,psv leoparden,9.71
384,psv leoparden,12.8
385,psv leoparden,10.62
386,psv leoparden,10.93
387,psv leoparden,13.63
392,psv leoparden,11.54
331,jahn speedies junior eins,9.58
332,jahn speedies junior eins,11.13
333,jahn speedies junior eins,9.78
334,jahn speedies junior eins,9.81
335,jahn speedies junior eins,9.51
336,jahn speedies junior eins,9.66
337,jahn speedies junior eins,9.52
338,jahn speedies junior eins,10.82
339,jahn speedies junior eins,9.63
248,grunwald,11.91
247,grunwald,10.4
232,grunwald,9.85
236,grunwald,9.85
246,grunwald,16
244,grunwald,9.88
249,grunwald,10.04
245,grunwald,10.11
226,psv panther,10.22
227,psv panther,10.49
228,psv panther,12.09
229,psv panther,9.96
230,psv panther,10.06
231,psv panther,9.44
395,psv panther,8.86
349,rennsemmeln,10.85
350,rennsemmeln,9.8
351,rennsemmeln,11.54
352,rennsemmeln,9.63
353,rennsemmeln,10.23
354,rennsemmeln,10.5
355,rennsemmeln,9.65
356,rennsemmeln,10.43
357,rennsemmeln,9.75
358,rennsemmeln,9.42
359,rennsemmeln,8.96
300,master,9.79
301,master,9.01
302,master,9.88
303,master,8.97
304,master,9.31
305,master,9.25
306,master,9.36
307,master,8.99
308,master,8.72
309,master,9.74
360,turbo tiger,10.65
361,turbo tiger,9.25
362,turbo tiger,9.04
363,turbo tiger,9.82
364,turbo tiger,8.57
365,turbo tiger,9.55
366,turbo tiger,8.83
367,turbo tiger,8.47
368,turbo tiger,10.81
369,turbo tiger,10.09
310,seminargruppe,10.26
311,seminargruppe,8.88
313,seminargruppe,10.15
314,seminargruppe,8.82
315,seminargruppe,9.89
316,seminargruppe,9.9
317,seminargruppe,9.26
318,seminargruppe,9.89
319,seminargruppe,9.18
393,seminargruppe,10.29
271,hase  und igel,10.62
272,hase  und igel,10.49
273,hase  und igel,10.2
274,hase  und igel,11.31
275,hase  und igel,9.11
276,hase  und igel,11.53
277,hase  und igel,10.42
396,hase  und igel,10.09
370,mini adler,10.62
371,mini adler,9.98
372,mini adler,10.4
373,mini adler,10.47
374,mini adler,11.01
375,mini adler,10.04
376,mini adler,10.93
377,mini adler,9.87
378,mini adler,10.29
379,mini adler,9.45
380,mini adler,10.43
178,renngeisis zwei,9.23
179,renngeisis zwei,8.54
180,renngeisis zwei,9.04
181,renngeisis zwei,10.15
182,renngeisis zwei,9.69
183,renngeisis zwei,8.79
184,renngeisis zwei,9.31
185,renngeisis zwei,9.42
186,renngeisis zwei,9.58
310,seminargruppe,10.26
311,seminargruppe,8.88
313,seminargruppe,10.15
314,seminargruppe,8.82
315,seminargruppe,9.89
316,seminargruppe,9.9
317,seminargruppe,9.26
318,seminargruppe,9.89
319,seminargruppe,9.18
393,seminargruppe,10.29
