name,team,result
271,hase und igel,5
272,hase und igel,7
273,hase und igel,4
274,hase und igel,3
275,hase und igel,6
276,hase und igel,4
277,hase und igel,5
396,hase und igel,5
300,master of health science,7
301,master of health science,7
302,master of health science,5
303,master of health science,5
304,master of health science,10
305,master of health science,5
306,master of health science,8
307,master of health science,10
308,master of health science,5
309,master of health science,7
349,rennsemmeln,5
350,rennsemmeln,4
351,rennsemmeln,4
352,rennsemmeln,7
353,rennsemmeln,8
354,rennsemmeln,6
355,rennsemmeln,6
356,rennsemmeln,5
357,rennsemmeln,4
358,rennsemmeln,8
359,rennsemmeln,7
226,psv panther,5
227,psv panther,7
228,psv panther,3
229,psv panther,6
230,psv panther,6
231,psv panther,7
395,psv panther,8
381,psv leoparden,7
382,psv leoparden,9
383,psv leoparden,7
384,psv leoparden,3
385,psv leoparden,5
386,psv leoparden,3
387,psv leoparden,3
392,psv leoparden,5
278,bunte hunde,8
279,bunte hunde,6
280,bunte hunde,6
281,bunte hunde,4
282,bunte hunde,6
283,bunte hunde,5
284,bunte hunde,7
397,bunte hunde,4
340,jahn speedies junior zwei,5
341,jahn speedies junior zwei,4
342,jahn speedies junior zwei,5
343,jahn speedies junior zwei,5
344,jahn speedies junior zwei,6
345,jahn speedies junior zwei,4
346,jahn speedies junior zwei,8
347,jahn speedies junior zwei,6
348,jahn speedies junior zwei,5
394,jahn speedies junior zwei,7
310,seminargruppe,6
311,seminargruppe,6
313,seminargruppe,4
314,seminargruppe,7
315,seminargruppe,5
316,seminargruppe,6
317,seminargruppe,8
318,seminargruppe,4
319,seminargruppe,6
393,seminargruppe,6
331,jahn eins,5
332,jahn eins,6
333,jahn eins,7
334,jahn eins,7
335,jahn eins,7
336,jahn eins,6
337,jahn eins,7
338,jahn eins,4
339,jahn eins,7
247,grunwald,5
248,grunwald,3
244,grunwald,7
245,grunwald,6
236,grunwald,5
246,grunwald,6
249,grunwald,8
232,grunwald,6
370,mini adler,5
371,mini adler,6
372,mini adler,4
373,mini adler,6
374,mini adler,4
375,mini adler,5
376,mini adler,5
377,mini adler,7
378,mini adler,7
379,mini adler,7
380,mini adler,5
360,turbo tiger,6
361,turbo tiger,6
362,turbo tiger,7
363,turbo tiger,7
364,turbo tiger,7
365,turbo tiger,5
366,turbo tiger,8
367,turbo tiger,9
368,turbo tiger,6
369,turbo tiger,8
178,renngeisis zwei,9
179,renngeisis zwei,10
180,renngeisis zwei,9
181,renngeisis zwei,5
182,renngeisis zwei,8
183,renngeisis zwei,7
184,renngeisis zwei,5
185,renngeisis zwei,4
186,renngeisis zwei,5
