name,team,result
285,springende kangurus,6
287,springende kangurus,4.5
288,springende kangurus,5
286,springende kangurus,6
290,springende kangurus,4
289,springende kangurus,3.5
169,renngeisis eins,5.5
170,renngeisis eins,4
171,renngeisis eins,5
172,renngeisis eins,4.5
173,renngeisis eins,4.5
174,renngeisis eins,4.5
175,renngeisis eins,6
176,renngeisis eins,4
190,quantensprung,4.5
196,quantensprung,5.5
198,quantensprung,3.5
200,quantensprung,6
202,quantensprung,5
203,quantensprung,5.5
187,lehrstuhl fur angewandte schlagballbeschleunigung,6
188,lehrstuhl fur angewandte schlagballbeschleunigung,5
189,lehrstuhl fur angewandte schlagballbeschleunigung,5
191,lehrstuhl fur angewandte schlagballbeschleunigung,3.5
192,lehrstuhl fur angewandte schlagballbeschleunigung,4.5
193,lehrstuhl fur angewandte schlagballbeschleunigung,5
194,lehrstuhl fur angewandte schlagballbeschleunigung,5.5
195,lehrstuhl fur angewandte schlagballbeschleunigung,4.5
204,adler,6.5
205,adler,6
206,adler,5
207,adler,8
208,adler,4.5
209,adler,5
210,adler,4
211,adler,5
212,adler,6.5
213,adler,7
214,adler,5.5
237,grunwald,4.5
240,grunwald,5.5
233,grunwald,4.5
239,grunwald,4.5
238,grunwald,5
242,grunwald,4.5
243,grunwald,5
241,grunwald,5.5
299,manzoschule,6
388,manzoschule,5
389,manzoschule,5.5
390,manzoschule,5
398,manzoschule,4.5
296,manzoschule,3
297,manzoschule,3.5
320,ts jahn speedies,4.5
321,ts jahn speedies,5.5
322,ts jahn speedies,4.5
323,ts jahn speedies,6.5
325,ts jahn speedies,4.5
326,ts jahn speedies,5
327,ts jahn speedies,5.5
328,ts jahn speedies,6
329,ts jahn speedies,5.5
330,ts jahn speedies,3
291,gazelle haidhausen,2.5
292,gazelle haidhausen,3.5
293,gazelle haidhausen,7.5
294,gazelle haidhausen,4.5
295,gazelle haidhausen,5
391,gazelle haidhausen,3
215,wolfe,4
216,wolfe,6
217,wolfe,3.5
218,wolfe,3
219,wolfe,5
220,wolfe,4
221,wolfe,6
22,wolfe,4.5
223,wolfe,4
224,wolfe,4
225,wolfe,6
