name,team,result
426,Wolfe,20.6
427,Wolfe,29.2
428,Wolfe,19.5
429,Wolfe,27.8
430,Wolfe,20.5
431,Wolfe,11
432,Wolfe,14.9
433,Wolfe,13.7
434,Wolfe,18.7
527,Lehrstuhl Schlagball,27.3
526,Lehrstuhl Schlagball,35.7
528,Lehrstuhl Schlagball,30.4
537,Lehrstuhl Schlagball,28.5
530,Lehrstuhl Schlagball,18.6
532,Lehrstuhl Schlagball,20.5
531,Lehrstuhl Schlagball,21.3
533,Lehrstuhl Schlagball,23.9
534,Lehrstuhl Schlagball,28.7
535,Lehrstuhl Schlagball,17.8
536,Lehrstuhl Schlagball,24.9
539,Lehrstuhl Schlagball,26.9
435,Kangurus,19.1
436,Kangurus,14.4
437,Kangurus,18.9
438,Kangurus,19.4
439,Kangurus,18
440,Kangurus,16.6
441,Kangurus,15.9
442,Kangurus,23.1
547,Gazelle,26.1
548,Gazelle,14
549,Gazelle,13.4
550,Gazelle,14.7
551,Gazelle,9.5
552,Gazelle,20.3
553,Gazelle,20
554,Gazelle,21.2
519,Powerkids,32
520,Powerkids,38.5
522,Powerkids,31
523,Powerkids,33.5
525,Powerkids,24
410,Powerkids,30.5
408,Rennmause,30
411,Rennmause,30.5
413,Rennmause,24
414,Rennmause,24.5
415,Rennmause,19.5
524,Rennmause,32
416,Adler,29
417,Adler,29
418,Adler,26
419,Adler,14
420,Adler,28
421,Adler,25
422,Adler,21
423,Adler,28
424,Adler,19
425,Adler,19
467,Rottach Egern,16.7
465,Rottach Egern,17.8
470,Rottach Egern,12.7
468,Rottach Egern,40
469,Rottach Egern,19.1
466,Rottach Egern,23.6
