name,team,result
487,Hohenflieger,7.11
488,Hohenflieger,6.77
489,Hohenflieger,7.09
490,Hohenflieger,7.05
491,Hohenflieger,6.23
492,Hohenflieger,7.03
493,Hohenflieger,7.1
496,Hohenflieger,6.95
497,Hohenflieger,6.88
498,Hohenflieger,6.97
499,Hohenflieger,7.84
400,Chilly Willy,6.26
401,Chilly Willy,6.54
402,Chilly Willy,6.87
403,Chilly Willy,6.62
404,Chilly Willy,7.12
405,Chilly Willy,6.33
406,Chilly Willy,7.26
407,Chilly Willy,6.4
556,Wilde Pferde,6.78
558,Wilde Pferde,6.54
559,Wilde Pferde,6.74
561,Wilde Pferde,6.94
560,Wilde Pferde,6.4
557,Wilde Pferde,6.94
541,Pagheras,7.65
542,Pagheras,6.59
543,Pagheras,7.14
544,Pagheras,6.14
545,Pagheras,6.55
546,Pagheras,6.82
