name,team,result
735,Kangurus,163
736,Kangurus,200
737,Kangurus,188
739,Kangurus,152
741,Kangurus,196
646,Kangurus,173
721,Adler,219
723,Adler,188
724,Adler,206
725,Adler,185
726,Adler,218
727,Adler,175
728,Adler,183
722,Wolfe,192
729,Wolfe,186
730,Wolfe,174
731,Wolfe,200
732,Wolfe,194
734,Wolfe,198
742,USC Schlagball,190
743,USC Schlagball,185
744,USC Schlagball,240
745,USC Schlagball,184
746,USC Schlagball,179
747,USC Schlagball,187
748,USC Schlagball,187
749,USC Schlagball,191
694,USC Schlagball,163
752,Quantensprung,192
753,Quantensprung,162
754,Quantensprung,158
755,Quantensprung,190
757,Quantensprung,191
758,Quantensprung,160
760,Quantensprung,202
761,Quantensprung,188
762,Quantensprung,132
763,Jahn Speedies,194
764,Jahn Speedies,160
765,Jahn Speedies,150
767,Jahn Speedies,168
768,Jahn Speedies,185
769,Jahn Speedies,183
