name,team,result
722,Wolfe,53
729,Wolfe,39
730,Wolfe,42
731,Wolfe,61
732,Wolfe,48
734,Wolfe,57
721,Adler,60
723,Adler,49
724,Adler,61
725,Adler,57
726,Adler,49
727,Adler,54
728,Adler,56
735,Kangurus,41
736,Kangurus,55
737,Kangurus,39
739,Kangurus,46
741,Kangurus,49
646,Kangurus,44
742,USC Schlagball,80
743,USC Schlagball,49
744,USC Schlagball,58
745,USC Schlagball,39
746,USC Schlagball,35
747,USC Schlagball,53
748,USC Schlagball,55
749,USC Schlagball,64
694,USC Schlagball,55
752,Quantensprung,66
753,Quantensprung,46
754,Quantensprung,64
755,Quantensprung,72
757,Quantensprung,65
758,Quantensprung,46
760,Quantensprung,63
761,Quantensprung,55
762,Quantensprung,36
763,Jahn Speedies,58
764,Jahn Speedies,41
765,Jahn Speedies,34
767,Jahn Speedies,42
768,Jahn Speedies,48
769,Jahn Speedies,41
