name,team,result
589,Jahn Speedies Junior 2,19
590,Jahn Speedies Junior 2,23
591,Jahn Speedies Junior 2,22
592,Jahn Speedies Junior 2,21
594,Jahn Speedies Junior 2,17
595,Jahn Speedies Junior 2,20
596,Schnelle Blitze,19
597,Schnelle Blitze,17
598,Schnelle Blitze,20
599,Schnelle Blitze,19
600,Schnelle Blitze,21
601,Schnelle Blitze,22
602,Schnelle Blitze,20
563,Chilli Willi,22
564,Chilli Willi,23
565,Chilli Willi,23
566,Chilli Willi,19
567,Chilli Willi,19
568,Chilli Willi,21
570,Chilli Willi,20
586,Wilde Pferde,22
588,Wilde Pferde,20
587,Wilde Pferde,18
585,Wilde Pferde,19
584,Wilde Pferde,21
582,Wilde Pferde,23
583,Wilde Pferde,19
572,Putzbrunner Pagheeras,19
573,Putzbrunner Pagheeras,18
574,Putzbrunner Pagheeras,21
575,Putzbrunner Pagheeras,18
576,Putzbrunner Pagheeras,21
577,Putzbrunner Pagheeras,17
578,Putzbrunner Pagheeras,19
581,Putzbrunner Pagheeras,15
629,Juniorprofessur fur Kickstart,22
630,Juniorprofessur fur Kickstart,21
631,Juniorprofessur fur Kickstart,22
632,Juniorprofessur fur Kickstart,21
633,Juniorprofessur fur Kickstart,18
634,Juniorprofessur fur Kickstart,22
635,Juniorprofessur fur Kickstart,22
636,Juniorprofessur fur Kickstart,17
637,Juniorprofessur fur Kickstart,23
621,Die Startblock Stipendiaten,19
622,Die Startblock Stipendiaten,21
623,Die Startblock Stipendiaten,19
624,Die Startblock Stipendiaten,18
625,Die Startblock Stipendiaten,18
627,Die Startblock Stipendiaten,23
628,Die Startblock Stipendiaten,19
610,Manzoschule,20
611,Manzoschule,19
612,Manzoschule,19
613,Manzoschule,19
614,Manzoschule,12
615,Manzoschule,17
616,Manzoschule,17
617,Manzoschule,19
618,Manzoschule,19
619,Manzoschule,18
620,Manzoschule,21
