name,team,result
217,Fledermause,2.26
218,Fledermause,1.35
219,Fledermause,2.03
220,Fledermause,2.13
221,Fledermause,2.23
222,Fledermause,1.91
223,Fledermause,1.56
224,Fledermause,1.15
213,Giraffen,2.2
212,Giraffen,2.1
214,Giraffen,2.45
210,Giraffen,1.85
211,Giraffen,1.85
216,Giraffen,2.1
209,Giraffen,2.5
215,Giraffen,1.35
288,High Jumpers,2.4
289,High Jumpers,1.9
290,High Jumpers,1.6
291,High Jumpers,2
292,High Jumpers,2
293,High Jumpers,1.6
295,High Jumpers,2
296,High Jumpers,2.1
271,High Jumpers,1.8
272,High Jumpers,1
115,Powerkids,2.3
116,Powerkids,2.3
117,Powerkids,1.9
118,Powerkids,2.2
119,Powerkids,2.5
121,Powerkids,2
122,Powerkids,2
133,Chilli Willi,2.2
134,Chilli Willi,2.35
135,Chilli Willi,2.3
136,Chilli Willi,2.3
138,Chilli Willi,1.7
139,Chilli Willi,2.1
140,Chilli Willi,2.35
198,Gazelle Haidhausen,1.1
199,Gazelle Haidhausen,2.02
200,Gazelle Haidhausen,2.14
201,Gazelle Haidhausen,1.41
202,Gazelle Haidhausen,1.96
203,Gazelle Haidhausen,1.98
204,Gazelle Haidhausen,1.91
171,Manzoschule,1.71
173,Manzoschule,1.88
174,Manzoschule,1.39
175,Manzoschule,1.23
176,Manzoschule,0.87
177,Manzoschule,2.2
197,Bunte Hunde,2.5
196,Bunte Hunde,1.65
195,Bunte Hunde,1.8
194,Bunte Hunde,2.2
193,Bunte Hunde,2.35
192,Bunte Hunde,2.2
190,Bunte Hunde,1.9
249,Putzbrunner Pagheeras,2
250,Putzbrunner Pagheeras,1.25
251,Putzbrunner Pagheeras,2.2
252,Putzbrunner Pagheeras,1.8
253,Putzbrunner Pagheeras,1.9
254,Putzbrunner Pagheeras,1.9
255,Putzbrunner Pagheeras,1.8
256,Putzbrunner Pagheeras,1.75
258,Putzbrunner Pagheeras,1.5
259,Putzbrunner Pagheeras,1
277,Long Jumpers,1.83
278,Long Jumpers,1.81
279,Long Jumpers,2.02
280,Long Jumpers,2.48
281,Long Jumpers,2.17
282,Long Jumpers,1.89
283,Long Jumpers,1.8
284,Long Jumpers,1.88
285,Long Jumpers,1.76
273,Long Jumpers,2.16
275,Long Jumpers,1.4
