name,team,result
115,Powerkids,12.56
116,Powerkids,9.5
117,Powerkids,10.5
118,Powerkids,8.5
119,Powerkids,6.5
121,Powerkids,14.5
122,Powerkids,11
133,Chilli Willi,11
134,Chilli Willi,10.5
135,Chilli Willi,9.5
136,Chilli Willi,9
138,Chilli Willi,10
139,Chilli Willi,7
140,Chilli Willi,11.5
288,High Jumpers,14
289,High Jumpers,14.5
290,High Jumpers,6.5
291,High Jumpers,14.5
292,High Jumpers,10
293,High Jumpers,7
294,High Jumpers,11.5
295,High Jumpers,9
296,High Jumpers,12
271,High Jumpers,9
272,High Jumpers,3
199,Gazelle Haidhausen,10.5
200,Gazelle Haidhausen,8
201,Gazelle Haidhausen,7.5
202,Gazelle Haidhausen,8
198,Gazelle Haidhausen,6.5
204,Gazelle Haidhausen,12
203,Gazelle Haidhausen,10.5
249,Putzbrunner Pagheeras,8
250,Putzbrunner Pagheeras,6.5
251,Putzbrunner Pagheeras,12.5
252,Putzbrunner Pagheeras,14.5
253,Putzbrunner Pagheeras,9.5
254,Putzbrunner Pagheeras,11
255,Putzbrunner Pagheeras,8.5
256,Putzbrunner Pagheeras,8
257,Putzbrunner Pagheeras,10
258,Putzbrunner Pagheeras,7
259,Putzbrunner Pagheeras,12
213,Giraffen,8.5
212,Giraffen,8.5
214,Giraffen,14.5
210,Giraffen,7
211,Giraffen,7
216,Giraffen,3.5
209,Giraffen,7.5
215,Giraffen,12.5
171,Manzoschule,11
173,Manzoschule,5.5
174,Manzoschule,6.5
175,Manzoschule,2.5
176,Manzoschule,2.5
177,Manzoschule,7
194,Bunte Hunde,13.5
193,Bunte Hunde,10
197,Bunte Hunde,20
190,Bunte Hunde,7
192,Bunte Hunde,10
195,Bunte Hunde,7
196,Bunte Hunde,12
217,Fledermause,13
218,Fledermause,7
219,Fledermause,15
220,Fledermause,15
221,Fledermause,11
222,Fledermause,5
223,Fledermause,6.5
224,Fledermause,4
277,Long Jumpers,7
278,Long Jumpers,7
279,Long Jumpers,10
280,Long Jumpers,8.5
281,Long Jumpers,15
282,Long Jumpers,7
283,Long Jumpers,6.5
284,Long Jumpers,10.5
285,Long Jumpers,6
273,Long Jumpers,12.5
275,Long Jumpers,4
