name,team,result
198,Gazelle Haidhausen,203
199,Gazelle Haidhausen,199
200,Gazelle Haidhausen,170
201,Gazelle Haidhausen,168
202,Gazelle Haidhausen,174
203,Gazelle Haidhausen,171
204,Gazelle Haidhausen,179
171,Manzoschule,196
173,Manzoschule,190
174,Manzoschule,192
175,Manzoschule,259
176,Manzoschule,273
177,Manzoschule,174
277,Long Jumpers,211
278,Long Jumpers,208
279,Long Jumpers,156
280,Long Jumpers,154
281,Long Jumpers,145
282,Long Jumpers,208
283,Long Jumpers,183
284,Long Jumpers,178
285,Long Jumpers,191
209,Giraffen,169
210,Giraffen,177
211,Giraffen,161
212,Giraffen,166
213,Giraffen,195
214,Giraffen,142
215,Giraffen,146
216,Giraffen,198
133,Chilli Willi,150
134,Chilli Willi,158
135,Chilli Willi,162
136,Chilli Willi,164
138,Chilli Willi,179
139,Chilli Willi,178
140,Chilli Willi,171
249,Putzbrunner Pagheeras,181
250,Putzbrunner Pagheeras,184
251,Putzbrunner Pagheeras,192
252,Putzbrunner Pagheeras,165
253,Putzbrunner Pagheeras,193
254,Putzbrunner Pagheeras,178
255,Putzbrunner Pagheeras,144
256,Putzbrunner Pagheeras,186
257,Putzbrunner Pagheeras,189
258,Putzbrunner Pagheeras,193
259,Putzbrunner Pagheeras,166
190,Bunte Hunde,169
192,Bunte Hunde,171
193,Bunte Hunde,187
194,Bunte Hunde,165
195,Bunte Hunde,182
196,Bunte Hunde,171
197,Bunte Hunde,141
115,Powerkids,152
116,Powerkids,141
117,Powerkids,155
118,Powerkids,164
119,Powerkids,168
121,Powerkids,173
122,Powerkids,152
217,Fledermause,168
218,Fledermause,207
219,Fledermause,255
220,Fledermause,223
221,Fledermause,167
222,Fledermause,165
223,Fledermause,173
224,Fledermause,190
288,High Jumpers,147
289,High Jumpers,153
290,High Jumpers,185
291,High Jumpers,158
292,High Jumpers,154
293,High Jumpers,188
294,High Jumpers,182
295,High Jumpers,193
296,High Jumpers,159
