name,team,result
260,Putzbrunner Panther,15
261,Putzbrunner Panther,18
262,Putzbrunner Panther,18.5
263,Putzbrunner Panther,13.5
264,Putzbrunner Panther,8
265,Putzbrunner Panther,15
266,Putzbrunner Panther,11.5
267,Putzbrunner Panther,17
268,Putzbrunner Panther,19.5
269,Putzbrunner Panther,8
270,Putzbrunner Panther,12
234,Wolfe,12
235,Wolfe,16
236,Wolfe,19
237,Wolfe,19.5
241,Wolfe,21
242,Wolfe,20.5
151,Quantenspringer,18.5
152,Quantenspringer,19
153,Quantenspringer,14
154,Quantenspringer,18.5
155,Quantenspringer,18
156,Quantenspringer,24
157,Quantenspringer,12.5
159,Quantenspringer,11
150,Quantenspringer,23.5
225,Adler,17
226,Adler,17
227,Adler,12
228,Adler,20.5
229,Adler,7.5
230,Adler,15.5
232,Adler,13
178,Springende Kangurus,14
180,Springende Kangurus,13.5
181,Springende Kangurus,8
182,Springende Kangurus,10
183,Springende Kangurus,7.5
184,Springende Kangurus,14.5
185,Springende Kangurus,19
186,Springende Kangurus,16.5
188,Springende Kangurus,18
166,Manzoschule,18.5
168,Manzoschule,17
169,Manzoschule,20
160,Manzoschule,19.5
164,Manzoschule,24
167,Manzoschule,15
100,Jahn Speedies,13.5
101,Jahn Speedies,8.5
102,Jahn Speedies,17
103,Jahn Speedies,14.5
104,Jahn Speedies,14.5
106,Jahn Speedies,5.5
107,Jahn Speedies,7.5
109,Jahn Speedies,15
111,Jahn Speedies,14
112,Jahn Speedies,14
141,Teilchenbeschleuniger,18
142,Teilchenbeschleuniger,18
143,Teilchenbeschleuniger,27
144,Teilchenbeschleuniger,19
145,Teilchenbeschleuniger,9.5
146,Teilchenbeschleuniger,13
148,Teilchenbeschleuniger,7
149,Teilchenbeschleuniger,15.5
147,Teilchenbeschleuniger,17.5
