name,team,result
668,Bunte Hunde,95
669,Bunte Hunde,60
670,Bunte Hunde,85
671,Bunte Hunde,80
672,Bunte Hunde,70
673,Bunte Hunde,80
674,Bunte Hunde,60
608,Turbotornados,60
609,Turbotornados,80
610,Turbotornados,90
611,Turbotornados,60
612,Turbotornados,70
613,Turbotornados,90
614,Turbotornados,75
615,Turbotornados,75
616,Turbotornados,85
589,Flitzeblitze,80
599,Flitzeblitze,75
601,Flitzeblitze,70
602,Flitzeblitze,90
603,Flitzeblitze,50
606,Flitzeblitze,85
607,Flitzeblitze,75
604,Flitzeblitze,80
581,Jahn Powerkids,70
583,Jahn Powerkids,60
584,Jahn Powerkids,70
585,Jahn Powerkids,70
587,Jahn Powerkids,70
580,Jahn Powerkids,95
582,Jahn Powerkids,85
592,Jahn Powerkids,70
624,Chilli Willi,75
625,Chilli Willi,75
262,Chilli Willi,60
267,Chilli Willi,80
628,Chilli Willi,80
629,Chilli Willi,85
630,Chilli Willi,60
631,Chilli Willi,85
632,Chilli Willi,60
633,Chilli Willi,85
651,Giraffen,90
652,Giraffen,80
653,Giraffen,75
654,Giraffen,60
655,Giraffen,50
656,Giraffen,80
657,Giraffen,60
658,Giraffen,50
642,Wolfe,80
643,Wolfe,80
644,Wolfe,60
645,Wolfe,75
646,Wolfe,95
647,Wolfe,85
648,Wolfe,75
649,Wolfe,85
650,Wolfe,90
675,Gazelle Haidhausen,75
676,Gazelle Haidhausen,60
677,Gazelle Haidhausen,60
679,Gazelle Haidhausen,75
681,Gazelle Haidhausen,40
682,Gazelle Haidhausen,60
683,Gazelle Haidhausen,50
617,Wirbelwinde,95
618,Wirbelwinde,70
619,Wirbelwinde,75
620,Wirbelwinde,75
621,Wirbelwinde,70
622,Wirbelwinde,70
623,Wirbelwinde,70
