name,team,result
634,Adler,1060
635,Adler,900
636,Adler,900
637,Adler,870
638,Adler,850
639,Adler,820
640,Adler,860
641,Adler,910
482,Adler,780
483,Adler,980
691,Manzoschule,480
690,Manzoschule,830
689,Manzoschule,570
688,Manzoschule,770
687,Manzoschule,910
686,Manzoschule,970
685,Manzoschule,950
659,Springende Kangurus,1000
660,Springende Kangurus,850
661,Springende Kangurus,890
662,Springende Kangurus,950
663,Springende Kangurus,900
665,Springende Kangurus,820
667,Springende Kangurus,1090
549,Teilchenbeschleuniger,1060
550,Teilchenbeschleuniger,1010
551,Teilchenbeschleuniger,880
552,Teilchenbeschleuniger,1000
553,Teilchenbeschleuniger,890
554,Teilchenbeschleuniger,800
555,Teilchenbeschleuniger,930
556,Teilchenbeschleuniger,810
557,Teilchenbeschleuniger,850
558,Teilchenbeschleuniger,1160
559,Teilchenbeschleuniger,850
560,Quantenspringer,900
561,Quantenspringer,850
562,Quantenspringer,830
565,Quantenspringer,940
566,Quantenspringer,850
567,Quantenspringer,910
568,Quantenspringer,730
569,Quantenspringer,930
570,Quantenspringer,900
705,Grundwald,780
706,Grundwald,750
707,Grundwald,880
708,Grundwald,730
709,Grundwald,810
710,Grundwald,740
711,Grundwald,820
