name,team,result
549,Teilchenbeschleuniger,90
550,Teilchenbeschleuniger,120
551,Teilchenbeschleuniger,105
552,Teilchenbeschleuniger,115
553,Teilchenbeschleuniger,90
554,Teilchenbeschleuniger,100
555,Teilchenbeschleuniger,100
556,Teilchenbeschleuniger,90
557,Teilchenbeschleuniger,90
558,Teilchenbeschleuniger,130
559,Teilchenbeschleuniger,90
560,Quantenspringer,100
561,Quantenspringer,105
562,Quantenspringer,90
563,Quantenspringer,90
565,Quantenspringer,105
566,Quantenspringer,115
567,Quantenspringer,120
568,Quantenspringer,80
569,Quantenspringer,105
570,Quantenspringer,100
688,Manzoschule,70
687,Manzoschule,80
686,Manzoschule,90
685,Manzoschule,90
659,Springende Kangurus,115
660,Springende Kangurus,90
661,Springende Kangurus,100
662,Springende Kangurus,100
663,Springende Kangurus,90
665,Springende Kangurus,105
667,Springende Kangurus,105
634,Adler,115
635,Adler,90
636,Adler,100
637,Adler,70
638,Adler,70
639,Adler,90
640,Adler,80
641,Adler,105
482,Adler,80
483,Adler,105
705,Grunwald,80
706,Grunwald,80
707,Grunwald,100
708,Grunwald,100
709,Grunwald,80
710,Grunwald,80
711,Grunwald,90
