name,team,result
685,Manzoschule,9.46
686,Manzoschule,8.7
687,Manzoschule,9.79
688,Manzoschule,10.95
689,Manzoschule,13
690,Manzoschule,10.65
691,Manzoschule,12.74
707,Grunwald,8.78
711,Grunwald,10.19
709,Grunwald,10.72
710,Grunwald,10.02
706,Grunwald,10.19
708,Grunwald,10
705,Grunwald,10.9
560,Quantenspringer,9.19
561,Quantenspringer,9.53
562,Quantenspringer,9.08
565,Quantenspringer,8.59
566,Quantenspringer,8.88
567,Quantenspringer,8.81
568,Quantenspringer,10.16
569,Quantenspringer,8.59
570,Quantenspringer,8.81
549,Teilchenbeschleuniger,8.48
550,Teilchenbeschleuniger,7.96
551,Teilchenbeschleuniger,8.97
552,Teilchenbeschleuniger,8.23
559,Teilchenbeschleuniger,9.76
554,Teilchenbeschleuniger,9.32
555,Teilchenbeschleuniger,8.95
556,Teilchenbeschleuniger,9.6
557,Teilchenbeschleuniger,9.26
558,Teilchenbeschleuniger,7.74
559,Teilchenbeschleuniger,8.95
634,Adler,8.41
635,Adler,8.7
636,Adler,9.2
637,Adler,9.11
638,Adler,8.99
639,Adler,9.12
640,Adler,9.18
641,Adler,8.9
482,Adler,10.21
483,Adler,8.48
659,Springende Kangurus,8.6
660,Springende Kangurus,9.73
661,Springende Kangurus,9.49
662,Springende Kangurus,8.79
663,Springende Kangurus,9.32
665,Springende Kangurus,9.21
667,Springende Kangurus,8.46
