name,team,result
441,Manzoschule,13.09
437,Manzoschule,11.11
440,Manzoschule,16
286,Manzoschule,16
438,Manzoschule,13.8
439,Manzoschule,16
366,Bunte Hunde,9.35
367,Bunte Hunde,11.71
365,Bunte Hunde,8.65
371,Bunte Hunde,10.24
369,Bunte Hunde,9.86
370,Bunte Hunde,8.83
420,Longjumpers,11.38
421,Longjumpers,9.52
422,Longjumpers,9.28
424,Longjumpers,13.64
425,Longjumpers,10
426,Longjumpers,10.13
427,Longjumpers,10.49
428,Longjumpers,9.73
423,Longjumpers,11.76
468,Longjumpers,11.83
344,Chilli Willi,8.88
345,Chilli Willi,9.84
346,Chilli Willi,10.16
347,Chilli Willi,8.9
348,Chilli Willi,9.21
349,Chilli Willi,9.8
350,Chilli Willi,10.57
351,Chilli Willi,10.66
352,Chilli Willi,9.16
448,Powerkids,9.83
450,Powerkids,14.16
451,Powerkids,9.05
452,Powerkids,8.95
453,Powerkids,9.73
455,Powerkids,9.63
456,Powerkids,9.71
372,Gazelle Haidhausen,10.39
373,Gazelle Haidhausen,9.69
374,Gazelle Haidhausen,9.89
375,Gazelle Haidhausen,10.45
376,Gazelle Haidhausen,10.85
377,Gazelle Haidhausen,11.1
378,Gazelle Haidhausen,10.18
379,Gazelle Haidhausen,9.56
380,Gazelle Haidhausen,9.32
381,Gazelle Haidhausen,11.44
394,Giraffen,9.14
395,Giraffen,10.25
396,Giraffen,9.69
397,Giraffen,9.41
398,Giraffen,9.22
399,Giraffen,10.35
402,Giraffen,9.86
404,Giraffen,9.35
405,Giraffen,12.34
406,Giraffen,9.25
409,Giraffen,11.7
411,Highjumpers,9.01
412,Highjumpers,8.69
413,Highjumpers,11.14
414,Highjumpers,9.62
415,Highjumpers,10
416,Highjumpers,11.05
417,Highjumpers,10.26
418,Highjumpers,12.05
419,Highjumpers,11.28
