name,team,result
169,renngeisis eins,10.51
170,renngeisis eins,11.58
171,renngeisis eins,11.07
172,renngeisis eins,11.88
173,renngeisis eins,10.99
174,renngeisis eins,10.19
175,renngeisis eins,10.74
176,renngeisis eins,12.05
390,manzoschule,10.35
388,manzoschule,11.79
398,manzoschule,11.48
389,manzoschule,11.5
297,manzoschule,13.18
296,manzoschule,14
299,manzoschule,10.65
240,grunwald,16.9
241,grunwald,11.88
242,grunwald,11.71
237,grunwald,11.99
239,grunwald,11.11
238,grunwald,11.13
243,grunwald,10.87
233,grunwald,10.97
291,gazelle haidhausen,12.72
292,gazelle haidhausen,12.94
293,gazelle haidhausen,11.18
294,gazelle haidhausen,12.43
295,gazelle haidhausen,11.81
391,gazelle haidhausen,12.99
320,jahn speedies,10.78
321,jahn speedies,11.11
322,jahn speedies,11.34
323,jahn speedies,10.8
325,jahn speedies,12.14
326,jahn speedies,11.34
327,jahn speedies,12.72
328,jahn speedies,9.92
329,jahn speedies,9.88
330,jahn speedies,11.45
215,wolfe,10.76
216,wolfe,11.99
217,wolfe,12
218,wolfe,11.28
219,wolfe,11.87
220,wolfe,12.46
221,wolfe,11.39
222,wolfe,12.37
223,wolfe,14.81
224,wolfe,10.72
225,wolfe,10.05
204,adler,10.23
205,adler,10.35
206,adler,10.93
207,adler,9.72
208,adler,11.51
209,adler,10.25
210,adler,10.89
211,adler,11.43
212,adler,9.45
213,adler,11.23
214,adler,9.62
190,quantensprung,12.55
196,quantensprung,10.61
198,quantensprung,13.56
200,quantensprung,10.72
202,quantensprung,10.48
203,quantensprung,10.14
187,lehrstuhl,10.36
188,lehrstuhl,11.59
189,lehrstuhl,10.02
191,lehrstuhl,11.01
192,lehrstuhl,11.21
193,lehrstuhl,11.87
194,lehrstuhl,10.64
195,lehrstuhl,10.64
285,springende kangurus,11.49
287,springende kangurus,11.87
288,springende kangurus,11.04
286,springende kangurus,10.49
290,springende kangurus,12.39
289,springende kangurus,11.71
