name,team,result
333,Quantensprung,8
334,Quantensprung,8
335,Quantensprung,5
336,Quantensprung,7
337,Quantensprung,7
338,Quantensprung,9
340,Quantensprung,7
341,Quantensprung,8
342,Quantensprung,7
343,Quantensprung,5
339,Quantensprung,8
475,Turbokids,7
476,Turbokids,5
477,Turbokids,6
478,Turbokids,6
479,Turbokids,6
480,Turbokids,5
442,TS Jahn Speedies,5
448,TS Jahn Speedies,10
444,TS Jahn Speedies,6
445,TS Jahn Speedies,8
446,TS Jahn Speedies,9
447,TS Jahn Speedies,9
287,TS Jahn Speedies,10
383,Adler,6
384,Adler,8
385,Adler,8
386,Adler,8
389,Adler,9
390,Adler,9
391,Adler,8
400,Adler,8
393,Adler,7
429,Manzoschule,10
430,Manzoschule,5
431,Manzoschule,10
432,Manzoschule,10
433,Manzoschule,6
434,Manzoschule,6
435,Manzoschule,9
353,Springende Kangurus,10
355,Springende Kangurus,10
356,Springende Kangurus,8
357,Springende Kangurus,9
358,Springende Kangurus,9
359,Springende Kangurus,8
360,Springende Kangurus,9
361,Springende Kangurus,8
362,Springende Kangurus,9
363,Springende Kangurus,7
302,Grunwald,11
300,Grunwald,8
301,Grunwald,6
298,Grunwald,7
297,Grunwald,4
305,Grunwald,5
303,Grunwald,6
299,Grunwald,6
