name,team,result
510,horizontale sprunge,80
511,horizontale sprunge,70
512,horizontale sprunge,60
513,horizontale sprunge,80
514,horizontale sprunge,80
515,horizontale sprunge,60
517,horizontale sprunge,90
518,horizontale sprunge,80
455,panther,60
456,panther,60
457,panther,60
458,panther,60
459,panther,80
460,panther,80
462,panther,80
463,panther,70
464,panther,80
562,panther,80
472,turbo tiger,70
473,turbo tiger,60
474,turbo tiger,90
475,turbo tiger,70
476,turbo tiger,100
477,turbo tiger,70
478,turbo tiger,80
500,masters of health,30
501,masters of health,90
504,masters of health,80
505,masters of health,110
506,masters of health,80
507,masters of health,90
508,masters of health,80
509,masters of health,90
452,Bunte Hunde,70
451,Bunte Hunde,80
448,Bunte Hunde,80
453,Bunte Hunde,50
454,Bunte Hunde,70
449,Bunte Hunde,60
446,Bunte Hunde,70
445,Bunte Hunde,80
444,Bunte Hunde,80
450,Bunte Hunde,80
479,Mini Adler,70
480,Mini Adler,70
481,Mini Adler,60
482,Mini Adler,90
483,Mini Adler,60
484,Mini Adler,70
485,Mini Adler,80
486,Mini Adler,50
