name,team,result
467,rottag egern,110
465,rottag egern,105
470,rottag egern,70
468,rottag egern,110
469,rottag egern,115
466,rottag egern,115
416,Adler,110
417,Adler,115
418,Adler,135
419,Adler,125
420,Adler,120
421,Adler,105
422,Adler,90
423,Adler,105
424,Adler,120
425,Adler,110
408,Rennmause,115
411,Rennmause,110
413,Rennmause,105
414,Rennmause,115
415,Rennmause,105
524,Rennmause,105
519,Powerkids,120
520,Powerkids,120
522,Powerkids,120
523,Powerkids,130
525,Powerkids,115
410,Powerkids,115
547,Gazelle,105
548,Gazelle,90
549,Gazelle,80
550,Gazelle,90
551,Gazelle,80
552,Gazelle,90
553,Gazelle,90
554,Gazelle,80
426,Wolfe,100
427,Wolfe,120
428,Wolfe,90
429,Wolfe,110
430,Wolfe,80
431,Wolfe,100
432,Wolfe,90
433,Wolfe,105
434,Wolfe,100
527,Schlagball besch,90
526,Schlagball besch,125
528,Schlagball besch,130
537,Schlagball besch,100
534,Schlagball besch,110
535,Schlagball besch,90
536,Schlagball besch,90
539,Schlagball besch,105
530,Schlagball besch,90
533,Schlagball besch,90
532,Schlagball besch,105
531,Schlagball besch,105
435,Kangurus,105
436,Kangurus,105
437,Kangurus,115
438,Kangurus,90
439,Kangurus,110
440,Kangurus,100
441,Kangurus,110
442,Kangurus,105
