name,team,result
426,Wolfe,8.84
427,Wolfe,9.29
428,Wolfe,9.12
429,Wolfe,8.85
430,Wolfe,10.03
431,Wolfe,9.05
432,Wolfe,9.21
433,Wolfe,9.24
434,Wolfe,9.42
435,Kangurus,8.51
436,Kangurus,9.33
437,Kangurus,8.57
438,Kangurus,9.35
439,Kangurus,9.46
440,Kangurus,9.64
441,Kangurus,8.49
442,Kangurus,8.49
547,Gazelle,9.19
548,Gazelle,9.15
549,Gazelle,9.44
550,Gazelle,9.98
551,Gazelle,10.22
552,Gazelle,9.24
553,Gazelle,9.08
554,Gazelle,8.95
527,Schlagball beschl,8.89
526,Schlagball beschl,8.04
528,Schlagball beschl,7.55
537,Schlagball beschl,8.75
530,Schlagball beschl,8.58
532,Schlagball beschl,8.49
531,Schlagball beschl,8.65
533,Schlagball beschl,8.56
534,Schlagball beschl,9
535,Schlagball beschl,9.13
536,Schlagball beschl,10.16
539,Schlagball beschl,8.45
467,Rottach Egern,9.9
465,Rottach Egern,8.9
470,Rottach Egern,9.78
468,Rottach Egern,8.79
469,Rottach Egern,8.99
466,Rottach Egern,8.48
416,Adler,8.72
417,Adler,8.15
418,Adler,8.23
419,Adler,8.37
420,Adler,8.46
421,Adler,9.16
422,Adler,8.7
423,Adler,9.32
424,Adler,8.81
425,Adler,8.89
519,Powerkids,7.89
522,Powerkids,7.9
523,Powerkids,8.24
520,Powerkids,8.14
525,Powerkids,8.52
410,Powerkids,9.05
415,Rennmause,8.89
414,Rennmause,8.67
413,Rennmause,8.68
411,Rennmause,8.84
408,Rennmause,8.56
524,Rennmause,8.26
