name,team,result
1,Renngeisis 1,24
2,Renngeisis 1,17
3,Renngeisis 1,25
5,Renngeisis 1,20
6,Renngeisis 1,13
7,Renngeisis 1,14
18,Renngeisis 1,13
19,Renngeisis 1,19
17,Renngeisis 1,22
20,Renngeisis 1,17
8,Renngeisis 2,18
9,Renngeisis 2,12
11,Renngeisis 2,23
12,Renngeisis 2,14
13,Renngeisis 2,22
14,Renngeisis 2,17
15,Renngeisis 2,16
16,Renngeisis 2,20
23,Renngeisis 2,15
74,Manzoschule,12
73,Manzoschule,7
72,Manzoschule,11
71,Manzoschule,18
70,Manzoschule,14
68,Manzoschule,16
106,Kangurus,15
107,Kangurus,14
108,Kangurus,8
109,Kangurus,13
110,Kangurus,17
111,Kangurus,24
112,Kangurus,12
95,Forschungsgruppe Quantensprung,7
96,Forschungsgruppe Quantensprung,13
97,Forschungsgruppe Quantensprung,14
98,Forschungsgruppe Quantensprung,19
99,Forschungsgruppe Quantensprung,13
100,Forschungsgruppe Quantensprung,16
101,Forschungsgruppe Quantensprung,15
102,Forschungsgruppe Quantensprung,18
103,Forschungsgruppe Quantensprung,17
104,Forschungsgruppe Quantensprung,14
42,Adler,14
32,Adler,17
33,Adler,17
39,Adler,15
35,Adler,17
36,Adler,23
37,Adler,24
38,Adler,17
34,Adler,19
40,Adler,21
86,Lehrstuhl fur angewandte Schlagballbeschleunigung,17
87,Lehrstuhl fur angewandte Schlagballbeschleunigung,14
90,Lehrstuhl fur angewandte Schlagballbeschleunigung,10
84,Lehrstuhl fur angewandte Schlagballbeschleunigung,22
88,Lehrstuhl fur angewandte Schlagballbeschleunigung,22
92,Lehrstuhl fur angewandte Schlagballbeschleunigung,8
89,Lehrstuhl fur angewandte Schlagballbeschleunigung,18
43,Wolfe,18
44,Wolfe,14
45,Wolfe,15
46,Wolfe,16
47,Wolfe,9
48,Wolfe,14
49,Wolfe,13
51,Wolfe,18
52,Wolfe,13
53,Wolfe,12
75,Die JAHN-Speedies,23
76,Die JAHN-Speedies,12
77,Die JAHN-Speedies,10
78,Die JAHN-Speedies,15
79,Die JAHN-Speedies,12
80,Die JAHN-Speedies,5
81,Die JAHN-Speedies,14
82,Die JAHN-Speedies,9
83,Die JAHN-Speedies,24
158,Die JAHN-Speedies,8
