name,team,result
106,Kangurus,275
107,Kangurus,225
108,Kangurus,195
109,Kangurus,205
110,Kangurus,200
111,Kangurus,260
112,Kangurus,225
74,Manzoschule,238
73,Manzoschule,158
72,Manzoschule,192
71,Manzoschule,204
70,Manzoschule,202
65,Manzoschule,258
75,Jahn-Speedies,267
76,Jahn-Speedies,247
77,Jahn-Speedies,223
78,Jahn-Speedies,232
79,Jahn-Speedies,260
80,Jahn-Speedies,192
81,Jahn-Speedies,237
82,Jahn-Speedies,231
83,Jahn-Speedies,242
158,Jahn-Speedies,173
43,Wolfe,255
44,Wolfe,210
45,Wolfe,205
46,Wolfe,232
47,Wolfe,230
48,Wolfe,254
49,Wolfe,248
51,Wolfe,251
52,Wolfe,223
53,Wolfe,192
1,Renngeisis 1,300
2,Renngeisis 1,243
3,Renngeisis 1,253
5,Renngeisis 1,204
6,Renngeisis 1,270
17,Renngeisis 1,241
18,Renngeisis 1,242
19,Renngeisis 1,241
20,Renngeisis 1,222
7,Renngeisis 1,188
8,Renngeisis 2,248
9,Renngeisis 2,262
11,Renngeisis 2,238
12,Renngeisis 2,170
13,Renngeisis 2,265
14,Renngeisis 2,228
15,Renngeisis 2,210
16,Renngeisis 2,200
23,Renngeisis 2,225
86,Lehrstuhl fur angewandte Schlagballbeschleunigung,240
87,Lehrstuhl fur angewandte Schlagballbeschleunigung,252
90,Lehrstuhl fur angewandte Schlagballbeschleunigung,230
84,Lehrstuhl fur angewandte Schlagballbeschleunigung,260
88,Lehrstuhl fur angewandte Schlagballbeschleunigung,258
92,Lehrstuhl fur angewandte Schlagballbeschleunigung,255
89,Lehrstuhl fur angewandte Schlagballbeschleunigung,230
95,Forschungsgruppe Quantensprung,215
96,Forschungsgruppe Quantensprung,219
97,Forschungsgruppe Quantensprung,210
98,Forschungsgruppe Quantensprung,220
99,Forschungsgruppe Quantensprung,184
100,Forschungsgruppe Quantensprung,216
101,Forschungsgruppe Quantensprung,266
102,Forschungsgruppe Quantensprung,176
103,Forschungsgruppe Quantensprung,172
104,Forschungsgruppe Quantensprung,178
42,Adler,265
32,Adler,265
33,Adler,258
39,Adler,280
35,Adler,240
36,Adler,248
37,Adler,268
38,Adler,265
34,Adler,256
40,Adler,248
