name,team,result
153,Chilli Willi,144
149,Chilli Willi,152
155,Chilli Willi,167
151,Chilli Willi,161
148,Chilli Willi,159
157,Chilli Willi,168
154,Chilli Willi,191
152,Chilli Willi,135
150,Chilli Willi,149
129,Master of Health Science,134
130,Master of Health Science,175
132,Master of Health Science,175
131,Master of Health Science,182
133,Master of Health Science,228
134,Master of Health Science,141
136,Master of Health Science,147
105,Master of Health Science,157
94,Master of Health Science,182
135,Master of Health Science,169
